,,,,,,,,,
,Assignments,,,,,,,,
,,,,,,,,,
,Today's Date,,,,,,,,
,27-Apr-2026,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sr No,Agencies,,No of Work,,,Sr no,Notes,,
1,NHAI,,11,,,1,Letter to Mahindra fro Eriksha,,
2,Municipal Corporation Ludhiana (MCL),,11,,,,,,
3,Greater Ludhiana Area Development Authority (GLADA),,11,,,,,,
4,Railways,,10,,,,,,
5,Public Works Department (PWD),,5,,,,,,
6,PSIEC,,1,,,,,,
7,Roadways,,3,,,,,,
,,,,,,,,,
,,,,,,,,,
NHAI,,,,,,Municipal Corporation Ludhiana (MCL),,,
Sr no,Work,Completion date,Status,,,Sr no,Work,Completion date,Status
1,"Status of Elevated Road Ramp.
                        ",,,,,1,Preparation and status of DPR for identified traffic bottlenecks. ( Including pspcl land and Model Town dr mittal plot ),,
2,Status of Ludhiana–Rupnagar Road. ( package 1 & 2 ),,,,,2,Removal of encroachments and shifting of electric poles.,,
3,"Status of entry/exit points, cycle track, and new service road at Sherpur.",,,,,3,"Street lighting found inadequate; joint action required by MCL, Traffic Police, and PSPCL.",,
4,Status of entry/exit of Delhi–Katra Highway at Balowal. ( Pakhowal road ),,,,,4,Status of vending zones and no-tolerance zones.,,
5,Status update on the VUP at Jalandhar bypass,,,,,5,Status of pending traffic lights and removals of old traffic lights in old Sabzi Mandi,,
6,Status update on the VUP at Kailash Nagar,,,,,6,Status of pending traffic lights and removals of old traffic lights in Salem Tabri,,
7,Status update on the Sahnewal junction to be replicate as Samrala chk ludhiana entry & exit for heavy vehicles to avoid jam at junction,,,,,7,Status of pending traffic lights and removals of old traffic lights in Bharat Nagar Chowk,,
8,Status update on the Service road and VUP at Dhandari–Jaspal area,,,,,8,Doubling of Focal Point Main Road (Dhandari Bridge to Upper India),,
9,Status Ladhowal ROB widening & median closing,,,,,9,"Preparation of new Comprehensive Mobility Plan (CMP), City Transport Plan (CTP), and Logistics Plan in coordination with GLADA (a)Shed at Verka underpass both side",,
10,Status of bus terminal crossing,,,,,10,"Preparation of new Comprehensive Mobility Plan (CMP), City Transport Plan (CTP), and Logistics Plan in coordination with GLADA (b) widening of civil line side of station by shifting Shastri hall wall & station Quater ",,
11,Solution for Atam park junction jam,,,,,11,"Preparation of new Comprehensive Mobility Plan (CMP), City Transport Plan (CTP), and Logistics Plan in coordination with GLADA (c) Widening if Mall Road at Bharat Nagar junction by shifting sewer board Quater complex wall",,
,,,,,,,,,
,,,,,,,,,
Greater Ludhiana Area Development Authority (GLADA),,,,,,Railways,,,
Sr no,Work,Completion date,Status,,,Sr no,Work,Completion date,Status
1,Connectivity of Canal Road with Ferozepur Road (as per Master Plan).,,,,,1,Status of ROB at Doraha–Nelon Road (Ambala Division).,,
2,Connectivity of Pakhowal Road with Ferozepur Road.,,,,,2,Status of ROB at Dana Mandi.,,
3,Extension of Cycle Valley Road up to Delhi Road (approx. 3 km).,,,,,3,Status of ROB at Baddowal.,,
4,"Status of Missing Links 2 & 2.3, including flyover at Gill Road and entry/exit at Canal Road.",,,,,4,Feasibility of ROB at Sahnewal.,,
5,Road connectivity from Ferozepur Road to upcoming Halwara Airport and feasibility of Aero City development.,,,,,5,Feasibility of ROB at Gaspura.,,
6,Road widening from Baba Tea Stall to Ladhowal Bypass underpass.,,,,,6,Feasibility of ROB/Underpass at Sanet.,,
7,Rectification and extension of Dehlon Bypass to connect with dry ports to restrict heavy vehicles entering Dehlon town (PWD/GLADA).,,,,,7,Widening of railway crossing between Dugri–GNE Road (Ambala Division).,,
8,Development of Inner Ring Road connecting Delhi Road (near Sahnewal Airport) to Jaspal Bangar via Canal Road.,,,,,8,Status of Foot Over Bridges at Gill Road and Dhandari.,,
9,Status of road development along Budha Dariya in GLADA area.,,,,,9,Feasibility of Foot Over Bridges at Sherpur and Vishwakarma Chowk.,,
10,Widening of Hambra Road up to Delhi–Katra Expressway entry/exit.,,,,,10,Feasibility of Underpass at Rajguru Nagar.,,
11,Strengthening of roads around entry/exit points of Cycle Valley on Ludhiana–Rupnagar Expressway.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Public Works Department (PWD),,,,,,PSIEC,,,
Sr no,Work,Completion date,Status,,,Sr no,Work,Completion date,Status
1,Status of Rahon Road Project.,,,,,1,Status of rectification of Dainik Jagran Road (opposite Fortis Hospital).,,
2,Status of Dehlon Bypass.,,,,,,,,
3,Strengthening of roads near expressway entry/exit points around Ludhiana.,,,,,,,,
4,Improvement of Kohara Junction: • Widening of 1 km each on Kohara–Machiwara Road and Kohara–Sahnewal Road.,,,,,,,,
5,Greenfield/widening road connecting Machiwara Road with Chandigarh Road near entry/exit to reduce congestion at Kohara.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Roadways,,,,,,,,,
Sr no,Work,Completion date,Status,,,,,,
1,Development of satellite bus terminals to reduce load on main bus stand.,,,,,,,,
2,Opening of gate between Bus Stand and Workshop.,,,,,,,,
3,Shifting of workshop / land exchange with GLADA for satellite terminals.,,,,,,,,